2022-04-10 13:30:34,000 - mealpy.swarm_based.SSA.BaseSSA - INFO - Solving single objective optimization problem.
2022-04-10 13:30:34,144 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 1, Current best: 20.23323888888882, Global best: 20.23323888888882, Runtime: 0.09431 seconds
2022-04-10 13:30:34,241 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 2, Current best: 20.23323888888882, Global best: 20.23323888888882, Runtime: 0.09562 seconds
2022-04-10 13:30:34,334 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 3, Current best: 20.23323888888882, Global best: 20.23323888888882, Runtime: 0.09281 seconds
2022-04-10 13:30:34,429 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 4, Current best: 20.23323888888882, Global best: 20.23323888888882, Runtime: 0.09463 seconds
2022-04-10 13:30:34,526 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 5, Current best: 20.23323888888882, Global best: 20.23323888888882, Runtime: 0.09595 seconds
2022-04-10 13:30:34,619 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 6, Current best: 20.23323888888882, Global best: 20.23323888888882, Runtime: 0.09340 seconds
2022-04-10 13:30:34,714 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 7, Current best: 12.338430166666646, Global best: 12.338430166666646, Runtime: 0.09445 seconds
2022-04-10 13:30:34,807 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 8, Current best: 12.338430166666646, Global best: 12.338430166666646, Runtime: 0.09258 seconds
2022-04-10 13:30:34,900 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 9, Current best: 12.338430166666646, Global best: 12.338430166666646, Runtime: 0.09217 seconds
2022-04-10 13:30:34,993 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 10, Current best: 12.338430166666646, Global best: 12.338430166666646, Runtime: 0.09237 seconds
2022-04-10 13:30:35,085 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 11, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09226 seconds
2022-04-10 13:30:35,178 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 12, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09227 seconds
2022-04-10 13:30:35,271 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 13, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09251 seconds
2022-04-10 13:30:35,365 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 14, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09409 seconds
2022-04-10 13:30:35,460 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 15, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09362 seconds
2022-04-10 13:30:35,553 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 16, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09331 seconds
2022-04-10 13:30:35,648 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 17, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09396 seconds
2022-04-10 13:30:35,742 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 18, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09399 seconds
2022-04-10 13:30:35,836 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 19, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09365 seconds
2022-04-10 13:30:35,930 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 20, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09359 seconds
2022-04-10 13:30:36,026 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 21, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09482 seconds
2022-04-10 13:30:36,127 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 22, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.10077 seconds
2022-04-10 13:30:36,220 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 23, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09303 seconds
2022-04-10 13:30:36,313 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 24, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09258 seconds
2022-04-10 13:30:36,407 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 25, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09331 seconds
2022-04-10 13:30:36,500 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 26, Current best: 12.322142944444426, Global best: 12.322142944444426, Runtime: 0.09278 seconds
2022-04-10 13:30:36,595 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 27, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09402 seconds
2022-04-10 13:30:36,691 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 28, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09448 seconds
